,costo_rutas,costo_inventario,costo_SO
n10_empty_n,0.0433063382479687,0.036024025663793195,0.016242063680000928
n10_empty_c,0.046754697362131004,0.03883110734823131,0.01320745883470976
n10_empty_o,0.04405270424953805,0.03687001234366271,0.015715875737144235
n10_estandar_n,0.04195382036177747,0.035091858896474856,0.016961416982186776
n10_estandar_c,0.046358807356589884,0.03862799532652076,0.013611953385238419
n10_estandar_o,0.04299838090564295,0.03691424522916765,0.01656551804660683
n10_full_n,0.02718499519059885,0.04968841507341687,0.004165042688602289
n10_full_c,0.027415102572247375,0.05043089381873423,0.003982372483549887
n10_full_o,0.026421741014347383,0.05022432073572672,0.00400115313888848
n20_empty_n,0.08144435501662059,0.07633576468033548,0.025027413118284096
n20_empty_c,0.0909055990584596,0.08488194631040304,0.0173083260380273
n20_empty_o,0.08350021592988055,0.07889611022442036,0.02260343553907705
n20_estandar_n,0.08251242602592171,0.07660065491064531,0.02398389638995489
n20_estandar_c,0.09214593591514618,0.08479463999349818,0.017077311601536287
n20_estandar_o,0.08339883980273181,0.07914399124990211,0.02221037159943773
n20_full_n,0.0791417482723971,0.07475732385001069,0.025185086581022444
n20_full_c,0.09083033430565726,0.08348788086367757,0.018485290442961853
n20_full_o,0.08280718856590873,0.07886571132987945,0.02274552351621163
n30_empty_n,0.12509394398947343,0.09969389420804532,0.02974536460188626
n30_empty_c,0.1433912350154392,0.11474782650711368,0.01699909733478824
n30_empty_o,0.12764703499878202,0.10476867349581921,0.02444201168671025
n30_estandar_n,0.12536317420896775,0.09995837539251426,0.029016440888948298
n30_estandar_c,0.145241172451586,0.11478096395677999,0.01735290983351944
n30_estandar_o,0.12839173023595685,0.10456842052629536,0.02403515737580165
n30_full_n,0.10238671079772171,0.10741355891503206,0.021983959288117663
n30_full_c,0.10952142646232792,0.11636639098594685,0.015706875626287135
n30_full_o,0.10308593403624108,0.1096470867519828,0.020164467745970777
