,costo_rutas,costo_inventario,costo_SO
n10_empty_n,0.03949089805956167,0.04057944576850629,0.004910609042070299
n10_empty_c,0.04268570006115926,0.04683496303607829,0.00047587823231678083
n10_empty_o,0.040199789836040827,0.042249891841979755,0.0012794184737799916
n10_estandar_n,0.03956183649128871,0.03999781349265868,0.005262528095056233
n10_estandar_c,0.042454127002541676,0.046962303234757724,0.00041095546211716876
n10_estandar_o,0.03979685477908492,0.041986067193268924,0.001234224409125558
n10_full_n,0.027151393418379775,0.04679746603448738,0.0008527500749631061
n10_full_c,0.027738641298631905,0.0486476090039649,0.00015479701928057665
n10_full_o,0.02517899905812872,0.04648036007071317,0.0004682408040180779
n20_empty_n,0.05374028914906599,0.08292694869318039,0.009037215612224309
n20_empty_c,0.05930932167911623,0.09420677932187821,0.0008332761013399099
n20_empty_o,0.05508887805148878,0.08606846244456516,0.002310275963919958
n20_estandar_n,0.05395336672813749,0.08280227180304932,0.008553804781206771
n20_estandar_c,0.05922333505118396,0.09446539801955407,0.0009735137125724013
n20_estandar_o,0.05457414869181759,0.08580160993184466,0.001971449985304476
n20_full_n,0.053230526170230934,0.08306104045834471,0.007935846666402867
n20_full_c,0.059025278362946354,0.0941729869424471,0.0009738965281195772
n20_full_o,0.05441152240283682,0.08619682672587,0.0018281684361034143
n30_empty_n,0.06439100043327249,0.10782318023539116,0.01246315399481293
n30_empty_c,0.07266418019343655,0.12390844648374821,0.0009849068893550976
n30_empty_o,0.06708109443848141,0.11197714845608929,0.003147677790928458
n30_estandar_n,0.06409917627740147,0.10683023494270767,0.01260844887532591
n30_estandar_c,0.07291515246391139,0.12408530460586283,0.0012683985043047703
n30_estandar_o,0.06650704540247945,0.11168030187098184,0.003197167508509043
n30_full_n,0.055895742828776435,0.11370094877217238,0.00616673605333218
n30_full_c,0.0585794338833386,0.12465902761238125,0.0007757645922712142
n30_full_o,0.05572776247727588,0.11660886851982391,0.001437489746552813
